station_id,station_name,num_of_charging_stations,lat,long
1,No 2 Sportsground Park,1,-32.930158,151.7606332
2,Albury Waste Management Centre,1,-36.028496,146.8958713
3,NRMA - Ballina,2,-28.85761,153.5616904
4,NRMA - Coffs Harbour,1,-30.317745,153.0898181
5,NRMA - Sydney,2,-33.905521,151.2128
6,NRMA - Gundagai,2,-35.002352,148.1102642
7,NRMA - Port Macquarie,2,-31.463941,152.8219487
8,NRMA - Karuah,2,-32.65385,151.9625799
9,NRMA - Cooma,2,-36.219283,149.133225
10,NRMA - Goulburn,2,-34.747962,149.7496447
11,NRMA - Shell Cove,1,-34.588599,150.8661125
12,Audi Centre Sydney,1,-33.907015,151.2130187
13,Mirvac South Eveleigh,2,-33.895581,151.1958121
14,Berowra Tennis Centre,1,-33.621379,151.1494479
15,Byron Bay Library,1,-28.643224,153.615692
16,Lismore City Council,1,-28.806548,153.2786369
17,The Heffron Centre,4,-33.951003,151.2320639
18,ENGIE - Warriewood Square,1,-33.695602,151.2962879
19,ENGIE - Chatswood Chase,1,-33.794005,151.1865994
20,ENGIE - Roselands Shopping Centre,1,-33.935008,151.069206
21,ENGIE - Lake Haven Centre,1,-33.240884,151.5036157
22,Soldiers Point Marina,1,-32.701388,152.0626458
23,ENGIE - Greenway Wetherill Park,1,-33.850403,150.8984016
24,ENGIE - DFO Homebush,1,-33.855193,151.0771984
25,Pennant Hills Toyota,1,-33.736621,151.0743388
26,KFC - Goulburn South,1,-34.771921,149.6924162
27,Woolworths North Parramatta,1,-33.792866,150.9995553
28,Genesis Health Care,1,-34.071284,150.8061644
29,Ampol Foodary St Ives,1,-33.7306437,151.1571089
30,Ampol Foodary Gosford West (Eastbound),1,-33.427468,151.321293
31,Ampol Foodary Marsden Park,1,-33.71606446,150.8443544
32,Ampol Foodary Northmead,1,-33.787777,150.994685
33,Ampol Foodary Edmondson Park ,1,-33.95554925,150.865275
34,Ampol Foodary Hazelbrook,1,-33.72104211,150.452198
35,Ampol Foodary Waitara,1,-33.710683,151.102535
36,Ampol Foodary Brownsville ,1,-34.48575434,150.8064239
37,Ampol Lakemba ,1,-33.91158022,151.0733967
38,Ampol Foodary Wollongong North,1,-34.41516516,150.8931358
39,Ampol Foodary Alexandria,1,-33.90214,151.20003
40,Ampol Foodary Pheasants Nest Southbound,3,-34.28254012,150.6397707
41,Ampol Foodary Pheasants Nest Northbound ,3,-34.28321378,150.6364411
42,Ampol Foodary Penrith,1,-33.74299278,150.6929624
43,Ampol Foodary Werrington,1,-33.74597888,150.7407894
44,Ampol Foodary Glenbrook,1,-33.76539099,150.6214957
45,BP Marulan Northbound,1,-34.719342,149.995591
46,BP Marulan Southbound,1,-34.718458,150.000639
47,BP Ingleburn,2,-33.98873226,150.8592698
48,BP Macarthur,1,-34.05317082,150.8236398
49,BP Pulse Kellyville ,1,-33.71278368,150.9591265
50,BP Revesby,1,-33.93878937,151.0177765
51,bp Penrith ,1,-33.74356323,150.6923182
52,BP Rosehill,1,-33.81967545,151.0212402
53,BP Seven Hills,1,-33.7671723,150.9518457
54,BP Balgowlah,1,-33.79550801,151.2558549
55,BP Tumbi Umbi,1,-33.36288685,151.4445016
56,BP Sydenham,1,-33.91611507,151.1728932
57,BP Asquith,1,-33.68999427,151.1061347
58,BP Fairy Meadow,1,-34.40330246,150.8914438
59,BP Heatherbrae,1,-32.78334894,151.7370322
60,BP Eastern Creek,1,-33.81100481,150.8496208
61,BP Wiley Park,1,-33.91957312,151.0669475
62,bp Nambucca Heads,1,-30.62671183,152.9724759
63,bp Coffs Harbour,1,-30.291502,153.118159
