charger_id,station_id,operator_id,chademo_plug_count,ccs_sae_plug_count,tesla_plug_count,total_plug_count
1,1,9,0,2,0,2
2,2,9,1,1,0,2
3,3,9,1,3,0,4
4,4,9,2,2,0,4
5,5,9,1,3,0,4
6,6,9,1,3,0,4
7,7,9,1,3,0,4
8,8,9,1,3,0,4
9,9,9,1,3,0,4
10,10,9,3,3,0,6
11,11,9,2,2,0,4
12,12,9,0,1,0,1
13,13,9,2,2,0,4
14,14,9,0,2,0,2
15,15,9,1,1,0,2
16,16,9,1,1,0,2
17,17,9,4,4,0,8
18,18,9,0,2,0,2
19,19,9,0,2,0,2
20,20,9,0,2,0,2
21,21,9,0,2,0,2
22,22,9,1,1,0,2
23,23,9,0,2,0,2
24,24,9,0,2,0,2
25,25,9,0,2,0,2
26,26,9,0,2,0,2
27,27,9,0,4,0,4
28,28,9,1,3,0,4
29,29,8,1,1,0,2
30,30,8,1,1,0,2
31,31,8,1,1,0,2
32,32,8,1,1,0,2
33,33,8,1,1,0,2
34,34,8,1,1,0,2
35,35,8,1,1,0,2
36,36,8,1,1,0,2
37,37,8,1,1,0,2
38,38,8,1,1,0,2
39,39,8,0,2,0,2
40,40,8,3,6,0,9
41,41,8,3,6,0,9
42,42,8,1,1,0,2
43,43,8,1,1,0,2
44,44,8,1,1,0,2
45,45,2,1,1,0,2
46,46,2,1,1,0,2
47,47,2,0,4,0,4
48,48,2,0,2,0,2
49,49,2,0,2,0,2
50,50,2,1,1,0,2
51,51,2,0,2,0,2
52,52,2,0,2,0,2
53,53,2,0,2,0,2
54,54,2,0,2,0,2
55,55,2,1,1,0,2
56,56,2,0,2,0,2
57,57,2,0,2,0,2
58,58,2,0,2,0,2
59,59,2,1,1,0,2
60,60,2,0,2,0,2
61,61,2,0,2,0,2
62,62,2,1,1,0,2
63,63,2,0,2,0,2
64,64,2,0,2,0,2
65,65,2,0,2,0,2
66,66,2,0,2,0,2
67,67,2,1,1,0,2
68,68,6,0,2,0,2
69,69,6,0,4,0,4
70,70,6,2,2,0,4
71,71,6,1,1,0,2
72,72,6,4,4,0,8
