ObjId,Station name,Station address,Opening hours,Operator,Number of station,Number of plugs,Charger rating,CHAdeMO,CCS/SAE,Tesla(Fast),Latitude,Longitude
1,No 2 Sportsground Park," Smith Street, Newcastle West, 2302",,Chargefox,1,2,60kW,0,2,0,-32.930158,151.7606332
2,Albury Waste Management Centre,"565 Mudge Street, Hamilton Valley, 2641",7AM - 5PM weekdays 9AM - 4PM weekends,Chargefox,1,2,50kW,1,1,0,-36.028496,146.8958713
3,NRMA - Ballina,"44 Bangalow Road, Ballina, 2478",Open 24/7,Chargefox,2,4,50kW - 350kW,1,3,0,-28.85761,153.5616904
4,NRMA - Coffs Harbour," Pacific Hwy, North Boambee Valley, 2450",Open 24/7,Chargefox,1,4,350kW,2,2,0,-30.317745,153.0898181
5,NRMA - Sydney,"4 Defries Avenue, Zetland, 2017",6:00 AM - 12:00 AM,Chargefox,2,4,50kW - 350kW,1,3,0,-33.905521,151.2128
6,NRMA - Gundagai,"31 Annie Pyers Drive, Gundagai, 2722",Open 24/7,Chargefox,2,4,50kW,1,3,0,-35.002352,148.1102642
7,NRMA - Port Macquarie,"1067 Oxley Highway, Thrumster, 2444",Open 24/7,Chargefox,2,4,180kW,1,3,0,-31.463941,152.8219487
8,NRMA - Karuah,"403 Tarean Road, Karuah, 2324",Open 24/7,Chargefox,2,4,50kW - 350kW,1,3,0,-32.65385,151.9625799
9,NRMA - Cooma," Yulin Avenue, Cooma, 2630",Open 24/7,Chargefox,2,4,50kW - 350kW,1,3,0,-36.219283,149.133225
10,NRMA - Goulburn,"53 Sydney Road, Goulburn, 2580",Open 24/7,Chargefox,2,6,50kW - 350kW,3,3,0,-34.747962,149.7496447
11,NRMA - Shell Cove," Harbour Boulevard, Shell Cove, 2529",Open 24/7,Chargefox,1,4,350kW,2,2,0,-34.588599,150.8661125
12,Audi Centre Sydney,"895 South Dowling Street, Zetland, 2017",Open 24/7,Chargefox,1,1,165kW,0,1,0,-33.907015,151.2130187
13,Mirvac South Eveleigh,"2 Central Avenue, Eveleigh, 2015",5am - 11:30pm,Chargefox,2,4,50kW,2,2,0,-33.895581,151.1958121
14,Berowra Tennis Centre,"6 Boundary Street, Berowra, 2081",,Chargefox,1,2,75kW,0,2,0,-33.621379,151.1494479
15,Byron Bay Library," Lawson Street, Byron Bay, 2481",,Chargefox,1,2,50kW,1,1,0,-28.643224,153.615692
16,Lismore City Council,"44 Molesworth Street, Lismore, 2480",Open 24/7,Chargefox,1,2,75kW,1,1,0,-28.806548,153.2786369
17,The Heffron Centre,"439 Bunnerong Road, Maroubra, 2035",Open 24/7,Chargefox,4,8,25kW,4,4,0,-33.951003,151.2320639
18,ENGIE - Warriewood Square,"12 Jacksons Road, Warriewood, 2102",,Chargefox,1,2,120kW,0,2,0,-33.695602,151.2962879
19,ENGIE - Chatswood Chase,"345 Victoria Avenue, Chatswood, 2067",,Chargefox,1,2,120kW,0,2,0,-33.794005,151.1865994
20,ENGIE - Roselands Shopping Centre,"24 Roselands Drive, Roselands, 2196",Closes 6pm,Chargefox,1,2,120kW,0,2,0,-33.935008,151.069206
21,ENGIE - Lake Haven Centre," Lake Haven Drive, Lake Haven, 2263",Open 24/7,Chargefox,1,2,120kW,0,2,0,-33.240884,151.5036157
22,Soldiers Point Marina," Sunset Boulevard, Soldiers Point, 2317",Open 24/7,Chargefox,1,2,24kW,1,1,0,-32.701388,152.0626458
23,ENGIE - Greenway Wetherill Park,"1183-1187 The Horsley Drive, Wetherill Park, 2164",,Chargefox,1,2,120kW,0,2,0,-33.850403,150.8984016
24,ENGIE - DFO Homebush,"3-5 Underwood Road, Homebush, 2140",10am- 7pm,Chargefox,1,2,120kW,0,2,0,-33.855193,151.0771984
25,Pennant Hills Toyota,"330 Pennant Hills Road, Pennant Hills, 2120",,Chargefox,1,2,50kW,0,2,0,-33.736621,151.0743388
26,KFC - Goulburn South,"179-183 Hume Street, Goulburn, 2580",Open 24/7,Chargefox,1,2,80kW,0,2,0,-34.771921,149.6924162
27,Woolworths North Parramatta,"1-9 North Rocks Road, North Rocks, 2151",,Chargefox,1,4,200kW,0,4,0,-33.792866,150.9995553
28,Genesis Health Care,"38 Camden Road, Campbelltown, 2560",Open 24/7,Chargefox,1,4,100kW,1,3,0,-34.071284,150.8061644
29,Ampol Foodary St Ives,"164 Mona Vale Rd, St Ives NSW 2075, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.7306437,151.1571089
30,Ampol Foodary Gosford West (Eastbound),"71 Central Coast Highway, West Gosford",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.427468,151.321293
31,Ampol Foodary Marsden Park,"875 Richmond Rd, Marsden Park NSW 2765, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.71606446,150.8443544
32,Ampol Foodary Northmead,"98-100 Windsor Rd, Northmead NSW 2152, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.787777,150.994685
33,Ampol Foodary Edmondson Park ,"2072 Camden Valley Way, Edmondson Park NSW 2174, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.95554925,150.865275
34,Ampol Foodary Hazelbrook,"198-199 Great Western Hwy, Hazelbrook NSW 2779, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.72104211,150.452198
35,Ampol Foodary Waitara,59-61 Pacific Hwy Waitara 2077,Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.710683,151.102535
36,Ampol Foodary Brownsville ,"342 Kanahooka Rd, Brownsville NSW 2530, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-34.48575434,150.8064239
37,Ampol Lakemba ,"81 Wangee Rd, Lakemba NSW 2195, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.91158022,151.0733967
38,Ampol Foodary Wollongong North,"9 Flinders St, Wollongong NSW 2500, Australia",Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-34.41516516,150.8931358
39,Ampol Foodary Alexandria,"133 Wyndham St Cnr Mcevoy St, Alexandria, NSW, 2015, Australia",Open 24/7,AmpCharge,1,2,150 kW,0,2,0,-33.90214,151.20003
40,Ampol Foodary Pheasants Nest Southbound,"South Bound, Hume Hwy, Pheasants Nest NSW 2574, Australia",Open 24/7,AmpCharge,3,9,150kW (300kW upgrade coming soon),3,6,0,-34.28254012,150.6397707
